命中条件1,命中条件2,两个条件均命中,代码,名称,市场简称,最新价,收盘价(季线),总市值(日线不复权),13日均线(季线),21日均线(季线),34日均线(季线),销售毛利率,销售毛利率,销售毛利率,加权净资产收益率ROE,加权净资产收益率ROE,加权净资产收益率ROE,上市板块,是否ST,证券类型,流通市值(日线不复权),涨跌幅,最高价(日线不复权),量比,IN_OPTIONAL,涨跌额,序号,成交额,成交量(股),最低价(日线不复权),市盈率(动)(倍),市净率(倍),换手率,市场码
,Y,,601225,陕西煤业,SH,23.86,,2313.23亿,,,,29.06|2025年报,32.69|2024年报,37.33|2023年报,17.88|2025年报,21.32|2024年报,20.64|2023年报,上交所主板,否,A股,2313.23亿,2.23,24.08,1.07,False,0.52,8,11.42亿,4803.45万,23.14,13.74,2.27,0.50,1
Y,,,601238,广汽集团,SH,6.60,6.60,673.01亿,8.36,9.93,10.05,,,,,,,上交所主板,否,A股,487.32亿,-1.05,6.68,0.83,False,-0.07,77,1.38亿,2081.62万,6.58,-25.64,0.65,0.28,1
Y,,,601360,三六零,SH,10.98,10.98,768.55亿,9.97,10.12,14.77,,,,,,,上交所主板,否,A股,768.55亿,-0.81,11.27,0.84,False,-0.09,66,10.95亿,9858.61万,10.94,175.84,2.63,1.41,1
Y,,,601377,兴业证券,SH,5.89,5.89,508.66亿,5.97,6.21,5.95,,,,,,,上交所主板,否,A股,508.66亿,-2.16,6.03,1.10,False,-0.13,83,5.93亿,9962.16万,5.88,16.19,0.90,1.15,1
Y,,,601390,中国中铁,SH,5.00,5.00,1234.31亿,5.80,5.49,5.34,,,,,,,上交所主板,否,A股,1023.94亿,-0.79,5.06,1.09,False,-0.04,89,8.07亿,1.61亿,4.99,7.08,0.38,0.79,1
Y,,,601456,国联民生,SH,9.33,9.33,530.00亿,10.52,11.11,-,,,,,,,上交所主板,否,A股,408.37亿,-1.58,9.54,1.13,False,-0.15,69,2.50亿,2660.16万,9.28,26.67,0.99,0.61,1
Y,,,601607,上海医药,SH,16.73,16.73,620.41亿,18.03,17.96,17.55,,,,,,,上交所主板,否,A股,466.63亿,-0.95,16.92,1.03,False,-0.16,51,1.53亿,912.77万,16.67,10.94,0.80,0.33,1
Y,,,601618,中国中冶,SH,2.89,2.89,598.91亿,3.20,3.23,2.99,,,,,,,上交所主板,否,A股,515.94亿,-0.69,2.92,1.01,False,-0.02,98,3.37亿,1.16亿,2.88,9.17,0.58,0.65,1
Y,,,601628,中国人寿,SH,35.36,35.36,9994.40亿,36.18,33.58,30.43,,,,,,,上交所主板,否,A股,7363.20亿,-1.75,36.25,0.65,False,-0.63,32,10.85亿,3045.91万,35.12,12.81,1.67,0.15,1
Y,,,601633,长城汽车,SH,19.09,19.09,1633.70亿,23.83,28.34,21.78,,,,,,,上交所主板,否,A股,1185.34亿,-0.31,19.32,0.93,False,-0.06,48,2.58亿,1349.33万,19.00,43.20,1.85,0.22,1
Y,,,601668,中国建筑,SH,4.93,4.93,2037.10亿,5.14,4.81,4.50,,,,,,,上交所主板,否,A股,2037.10亿,-0.20,4.97,0.90,False,-0.01,91,10.39亿,2.10亿,4.92,3.67,0.41,0.51,1
Y,,,601766,中国中车,SH,5.97,5.97,1713.32亿,6.54,5.86,5.96,,,,,,,上交所主板,否,A股,1452.37亿,-0.83,6.04,0.68,False,-0.05,81,13.88亿,2.31亿,5.96,12.68,0.98,0.95,1
Y,,,601788,光大证券,SH,14.95,14.95,689.31亿,16.43,15.51,14.22,,,,,,,上交所主板,否,A股,584.05亿,-1.84,15.24,0.97,False,-0.28,58,4.97亿,3313.65万,14.82,14.78,1.11,0.85,1
Y,,,601800,中国交建,SH,6.69,6.69,1088.77亿,8.40,8.04,8.13,,,,,,,上交所主板,否,A股,788.33亿,-1.33,6.78,0.82,False,-0.09,76,2.94亿,4373.77万,6.66,6.63,0.37,0.37,1
Y,,,601808,中海油服,SH,14.10,14.10,672.79亿,14.99,14.67,13.24,,,,,,,上交所主板,否,A股,417.43亿,-0.14,14.25,1.00,False,-0.02,60,2.50亿,1766.21万,14.07,19.66,1.42,0.60,1
Y,,,601816,京沪高铁,SH,4.96,4.96,2426.71亿,5.20,4.97,-,,,,,,,上交所主板,否,A股,2426.71亿,0.20,5.00,0.73,False,0.01,90,9.38亿,1.89亿,4.93,19.30,1.15,0.39,1
Y,,,601881,中国银河,SH,12.42,12.42,1358.05亿,13.52,11.79,10.67,,,,,,,上交所主板,否,A股,899.63亿,-2.13,12.72,0.88,False,-0.27,63,5.25亿,4196.48万,12.37,10.23,1.12,0.58,1
Y,,,601888,中国中免,SH,59.00,59.00,1225.90亿,76.21,129.88,125.14,,,,,,,上交所主板,否,A股,1151.96亿,-2.96,60.70,1.23,False,-1.80,19,24.73亿,4153.71万,58.92,13.05,2.12,2.13,1
Y,,,601901,方正证券,SH,7.01,7.01,577.07亿,7.64,7.44,7.31,,,,,,,上交所主板,否,A股,577.07亿,-1.41,7.13,1.24,False,-0.10,74,4.91亿,6975.18万,6.97,9.71,1.10,0.85,1
,Y,,601958,金钼股份,SH,21.04,,678.88亿,,,,41.13|2025年报,40.70|2024年报,47.96|2023年报,17.38|2025年报,18.46|2024年报,21.67|2023年报,上交所主板,否,A股,678.88亿,-5.10,22.12,1.01,False,-1.13,36,13.00亿,6096.65万,20.80,18.82,3.43,1.89,1
Y,,,601995,中金公司,SH,33.64,33.64,1623.89亿,34.59,38.48,-,,,,,,,上交所主板,否,A股,983.48亿,-1.90,34.37,1.03,False,-0.65,33,6.07亿,1795.67万,33.40,11.35,1.58,0.61,1
Y,Y,Y,603195,公牛集团,SH,42.79,42.79,773.60亿,47.01,47.20,-,43.14|2025年报,43.25|2024年报,43.20|2023年报,24.91|2025年报,28.64|2024年报,29.20|2023年报,上交所主板,否,A股,770.50亿,-0.07,43.20,0.73,False,-0.03,25,1.65亿,384.84万,42.60,18.28,4.34,0.21,1
,Y,,603259,药明康德,SH,103.13,,3077.15亿,,,,47.64|2025年报,41.48|2024年报,41.18|2023年报,28.56|2025年报,16.78|2024年报,18.99|2023年报,上交所主板,否,A股,2550.69亿,0.12,105.85,0.76,False,0.12,6,41.07亿,3944.87万,102.62,16.54,3.65,1.59,1
Y,,,603260,合盛硅业,SH,42.49,42.49,502.32亿,51.76,73.21,57.27,,,,,,,上交所主板,否,A股,502.32亿,-3.12,44.20,1.00,False,-1.37,27,4.46亿,1046.19万,42.10,162.37,1.71,0.88,1
Y,Y,Y,603288,海天味业,SH,36.81,36.81,2154.06亿,39.14,51.74,52.96,40.22|2025年报,36.97|2024年报,34.74|2023年报,19.59|2025年报,21.77|2024年报,20.72|2023年报,上交所主板,否,A股,2046.86亿,-1.45,37.33,0.94,False,-0.54,30,5.68亿,1535.71万,36.73,22.04,5.13,0.28,1
Y,,,603392,万泰生物,SH,39.56,39.56,500.19亿,60.02,77.18,-,,,,,,,上交所主板,否,A股,500.19亿,-1.17,40.35,0.40,False,-0.47,28,2.13亿,533.35万,39.39,-290.92,4.23,0.42,1
Y,,,603501,豪威集团,SH,101.39,101.39,1278.68亿,110.24,123.38,108.49,,,,,,,上交所主板,否,A股,1227.23亿,0.89,104.70,1.30,False,0.89,7,42.15亿,4165.98万,97.80,63.56,3.89,3.44,1
Y,,,603659,璞泰来,SH,32.21,32.21,688.13亿,23.66,32.28,26.12,,,,,,,上交所主板,否,A股,688.13亿,0.09,32.88,0.84,False,0.03,35,15.83亿,4907.23万,31.69,24.43,3.28,2.30,1
,Y,,603699,纽威股份,SH,65.20,,505.48亿,,,,39.28|2025年报,38.10|2024年报,31.09|2023年报,34.45|2025年报,28.66|2024年报,20.65|2023年报,上交所主板,否,A股,494.31亿,5.16,65.99,1.41,False,3.20,40,6.48亿,1001.68万,62.06,36.61,10.11,1.32,1
,Y,,605117,德业股份,SH,150.33,,1367.00亿,,,,38.13|2025年报,38.76|2024年报,39.83|2023年报,32.66|2025年报,39.24|2024年报,38.60|2023年报,上交所主板,否,A股,1367.00亿,-0.56,153.62,1.20,False,-0.85,21,22.29亿,1489.71万,147.43,28.77,11.80,1.64,1
Y,Y,Y,605499,东鹏饮料,SH,186.09,186.09,1075.96亿,203.42,174.86,-,44.91|2025年报,44.81|2024年报,43.07|2023年报,51.61|2025年报,46.93|2024年报,35.82|2023年报,上交所主板,否,A股,967.69亿,-3.83,192.60,1.57,False,-7.41,2,12.23亿,653.07万,185.00,21.39,5.65,1.26,1
